Year,quarter,citymarketid,strength_pax,degree,HHI_neighbors,TotalFaredPax_city,TotalPerLFMkts_city,TotalPerPrem_city,city_clean,lat,lon
2022,2,31986,3731.0,12,0.08597068711077249,604230.0,0.8142,-0.0092,"Grand Rapids, MI",42.9704146,-85.6721946
2022,2,31995,628.0,1,1.0,266920.0,0.0119,0.1055,"Greensboro/High Point, NC",35.9878908,-79.9638094
2022,2,32070,244.0,1,1.0,213200.0,0.4261,0.0005,"Harrisburg, PA",40.2731911,-76.8867008
2022,2,32206,525.0,2,0.5033541950113378,144060.0,0.8805,-0.0877,"Harlingen/San Benito, TX",26.132576,-97.6311006
2022,2,32211,81395.0,61,0.03444754185625667,8077110.0,0.9886,-0.1298,"Las Vegas, NV",36.171563,-115.1391009
2022,2,32244,580.0,2,0.5352497027348395,148490.0,1.0,-0.4915,"New Haven, CT",41.308274,-72.9278835
2022,2,32323,405.0,1,1.0,187150.0,0.0712,0.1327,"Wilmington, NC",34.2103894,-77.8868117
2022,2,32337,15049.0,23,0.05413613732120939,1687320.0,0.8374,0.0571,"Indianapolis, IN",39.76909,-86.158018
2022,2,32448,490.0,2,0.5011995002082466,219160.0,0.8089,-0.0072,"Jackson/Vicksburg, MS",32.3522304,-90.8745758
2022,2,32457,94614.0,47,0.06634279934540284,3052830.0,0.872633333333333,-0.0513,"San Francisco, CA",37.7749295,-122.4194155
2022,2,32467,89514.0,53,0.06744139579209531,4341625.0,0.92085,-0.11065,"Miami, FL",25.7616798,-80.1917902
2022,2,32575,143922.0,65,0.04440067866086558,2751880.0,0.90786,-0.06786,"Los Angeles, CA",34.0549076,-118.242643
2022,2,32600,1004.0,4,0.25269638577165443,342360.0,0.8418,0.0547,"Little Rock, AR",34.7428286,-92.2762904
2022,2,32896,648.0,2,0.5420858100899253,151510.0,0.9071,-0.0358,"Lubbock, TX",33.5845235,-101.8552139
2022,2,32898,247.0,1,1.0,,,,"Latrobe, PA",40.3211808,-79.37948109999999
2022,2,33044,4906.0,12,0.09069221295122042,728830.0,0.8324000000000001,0.0608,"Louisville, KY",38.2468618,-85.7663724
2022,2,33105,13324.0,25,0.051136159316324786,1436510.0,0.8665,0.0036,"Cincinnati, OH",39.1031182,-84.5120196
2022,2,33158,1037.0,2,0.533644730320476,202110.0,0.7666,0.0708,"Midland/Odessa, TX",31.8456816,-102.3676431
2022,2,33192,20569.0,23,0.11070665271882181,2243010.0,0.9737,-0.0721,"Sacramento, CA",38.5781342,-121.4944209
2022,2,33195,44669.0,50,0.04204166422242577,2354155.0,0.9619,-0.3097,"Tampa, FL",27.9516896,-82.45875269999999
2022,2,33198,16677.0,27,0.047312414818732516,1854790.0,0.9135999999999999,0.0568,"Kansas City, MO",39.0997265,-94.5785667
2022,2,33214,14229.0,26,0.049434749877881025,1720100.0,0.9006,0.0465,"San Antonio, TX",29.4251905,-98.4945922
2022,2,33244,6527.0,15,0.07454807761440856,853100.0,0.766,0.0165,"Memphis, TN",35.1485812,-90.0518955
2022,2,33256,292.0,1,1.0,123920.0,0.3376,0.05,"Mission/McAllen/Edinburg, TX",26.2159066,-98.3252932
2022,2,33264,325.0,1,1.0,154300.0,0.3097,-0.144,"Medford, OR",42.3230112,-122.8767396
2022,2,33316,5828.0,14,0.07915070737485333,854550.0,0.9024,0.0984,"Omaha, NE",41.2565369,-95.9345034
2022,2,33342,8698.0,17,0.0705535074626195,1074430.0,0.8638,0.0057,"Milwaukee, WI",43.0410344,-87.9096783
2022,2,33485,657.0,2,0.5021417864978257,303570.0,0.3005,0.1927,"Madison, WI",43.0721661,-89.4007501
2022,2,33495,22398.0,28,0.052543358726818576,2407230.0,0.9654,-0.0025,"New Orleans, LA",29.9508941,-90.0758356
2022,2,33570,40270.0,39,0.05606143877720347,4176690.0,0.9538,-0.0037,"San Diego, CA",32.715738,-117.1610838
2022,2,33667,5052.0,13,0.084739140492324,434165.0,0.39265,0.07985,"Norfolk, VA",36.8507689,-76.28587259999999
2022,2,33728,1772.0,6,0.1733066155751112,476270.0,0.7921999999999999,0.0814,"Pensacola, FL",30.4076647,-87.2189746
2022,2,33851,4197.0,11,0.09566842308650636,697850.0,0.9005,0.0416,"Oklahoma City, OK",35.4688692,-97.519539
2022,2,34004,622.0,2,0.5027346698235129,132820.0,0.0,-0.0776,"Everett, WA",47.9782457,-122.207417
2022,2,34027,10689.0,10,0.2951372398870065,1296350.0,0.8634999999999999,0.0716,"West Palm Beach/Palm Beach, FL",26.7056206,-80.0364297
2022,2,34057,25194.0,31,0.06613059257762367,2685860.0,0.7903,0.0277,"Portland, OR",45.515232,-122.6783853
2022,2,34082,300.0,1,1.0,392350.0,1.0,-0.5474,"Punta Gorda, FL",26.9297836,-82.0453664
2022,2,34100,36141.0,36,0.04751654962322681,3744450.0,0.7986,0.0579,"Philadelphia, PA",39.9525839,-75.1652215
2022,2,34252,240.0,1,1.0,112010.0,0.3986,-0.0454,"Pasco/Kennewick/Richland, WA",46.2086683,-119.119948
