Year,quarter,citymarketid_1,citymarketid_2,passengers,fare,nsmiles,fare_lg,fare_low,lf_ms,large_ms,carrier_lg,carrier_low,fare_pax_wavg,city1_clean,lat1,lon1,city2_clean,lat2,lon2
2022,1,30325,30559,1562.0,148.61,1024.0,153.8,126.8,0.2137,0.3588,AS,WN,148.61,"Denver, CO",39.7392358,-104.990251,"Seattle, WA",47.6061389,-122.3328481
2022,1,30325,30615,253.0,153.9,563.0,100.93,100.93,0.3345,0.3345,F9,F9,153.9,"Denver, CO",39.7392358,-104.990251,"El Paso, TX",31.7618778,-106.4850217
2022,1,30325,30693,904.0,216.72,1014.0,211.65,211.65,0.5758,0.5758,WN,WN,216.72,"Denver, CO",39.7392358,-104.990251,"Nashville, TN",36.1626638,-86.7816016
2022,1,30325,30852,2431.0,208.94,1491.0,254.87,125.71,0.2352,0.4033,UA,F9,208.94,"Denver, CO",39.7392358,-104.990251,"Washington, DC",38.9072873,-77.0369274
2022,1,30325,31123,803.0,177.36,770.0,186.11,103.94,0.1322,0.5434,WN,F9,177.36,"Denver, CO",39.7392358,-104.990251,"St. Louis, MO",38.62742799999999,-90.1982439
2022,1,30325,31136,395.0,257.67,1447.0,266.53,223.33,0.3558,0.3701,UA,WN,257.67,"Denver, CO",39.7392358,-104.990251,"Jacksonville, FL",30.3297566,-81.6591529
2022,1,30325,31295,928.0,192.34,1123.0,212.17,162.02,0.1346,0.6216,DL,WN,192.33999999999997,"Denver, CO",39.7392358,-104.990251,"Detroit, MI",42.32971819999999,-83.0424533
2022,1,30325,31423,266.0,146.82,589.0,174.48,96.22,0.2119,0.5207,UA,F9,146.82,"Denver, CO",39.7392358,-104.990251,"Des Moines, IA",41.5896139,-93.6163963
2022,1,30325,31453,2245.0,179.45,883.0,217.76,157.14,0.4379,0.4414,UA,WN,179.45,"Denver, CO",39.7392358,-104.990251,"Houston, TX",29.7600771,-95.3701108
2022,1,30325,31454,2317.0,225.46,1546.0,273.09,131.43,0.2793,0.3601,UA,F9,225.46,"Denver, CO",39.7392358,-104.990251,"Orlando, FL",28.5383832,-81.3789269
2022,1,30325,31638,175.0,174.49,844.0,211.28,93.3,0.1066,0.4194,UA,F9,174.49,"Denver, CO",39.7392358,-104.990251,"Fresno, CA",36.7377981,-119.7871247
2022,1,30325,31650,1622.0,151.13,680.0,171.77,108.9,0.1089,0.4876,DL,SY,151.13,"Denver, CO",39.7392358,-104.990251,"Minneapolis/St. Paul, MN",44.9374831,-93.2009998
2022,1,30325,31703,3336.0,220.1,1659.0,230.53,169.87,0.1259,0.5428,UA,WN,220.1,"Denver, CO",39.7392358,-104.990251,"New York City, NY",40.7127753,-74.0059728
2022,1,30325,31714,806.0,224.49,1607.0,256.73,122.61,0.225,0.5552,UA,F9,224.49,"Denver, CO",39.7392358,-104.990251,"Fort Myers, FL",26.6409247,-81.8605575
2022,1,30325,31884,235.0,193.38,836.0,167.0,167.0,0.4998,0.4998,WN,WN,193.38,"Denver, CO",39.7392358,-104.990251,"Spokane, WA",47.6579711,-117.4235319
2022,1,30325,31986,285.0,214.23,1015.0,225.0,184.39,0.3028,0.5955,UA,WN,214.23,"Denver, CO",39.7392358,-104.990251,"Grand Rapids, MI",42.9704146,-85.6721946
2022,1,30325,32211,2203.0,157.45,628.0,163.48,106.81,0.1914,0.4341,WN,F9,157.45,"Denver, CO",39.7392358,-104.990251,"Las Vegas, NV",36.171563,-115.1391009
2022,1,30325,32337,633.0,191.63,977.0,187.46,113.02,0.1347,0.4597,WN,F9,191.63,"Denver, CO",39.7392358,-104.990251,"Indianapolis, IN",39.76909,-86.158018
2022,1,30325,32457,2426.0,172.74,967.0,186.78,162.36,0.3935,0.522,UA,WN,172.74,"Denver, CO",39.7392358,-104.990251,"San Francisco, CA",37.7749295,-122.4194155
2022,1,30325,32467,2594.0,223.5,1709.0,293.95,135.2,0.1968,0.3119,UA,NK,223.5,"Denver, CO",39.7392358,-104.990251,"Miami, FL",25.7616798,-80.1917902
2022,1,30325,32575,4477.0,153.29,862.0,139.28,139.28,0.4844,0.4844,WN,WN,153.29,"Denver, CO",39.7392358,-104.990251,"Los Angeles, CA",34.0549076,-118.242643
2022,1,30325,32600,201.0,184.89,771.0,212.23,116.09,0.2157,0.3778,UA,F9,184.89,"Denver, CO",39.7392358,-104.990251,"Little Rock, AR",34.7428286,-92.2762904
2022,1,30325,33044,185.0,232.07,1024.0,205.65,205.65,0.452,0.452,WN,WN,232.07,"Denver, CO",39.7392358,-104.990251,"Louisville, KY",38.2468618,-85.7663724
2022,1,30325,33192,638.0,159.48,909.0,154.63,154.63,0.5669,0.5669,WN,WN,159.48,"Denver, CO",39.7392358,-104.990251,"Sacramento, CA",38.5781342,-121.4944209
2022,1,30325,33195,1472.0,211.22,1506.0,240.06,118.42,0.1663,0.4414,UA,F9,211.22000000000003,"Denver, CO",39.7392358,-104.990251,"Tampa, FL",27.9516896,-82.45875269999999
2022,1,30325,33198,708.0,186.2,533.0,189.02,189.02,0.5646,0.5646,WN,WN,186.20000000000002,"Denver, CO",39.7392358,-104.990251,"Kansas City, MO",39.0997265,-94.5785667
2022,1,30325,33214,785.0,167.72,794.0,176.75,115.09,0.1072,0.4327,UA,F9,167.72000000000003,"Denver, CO",39.7392358,-104.990251,"San Antonio, TX",29.4251905,-98.4945922
2022,1,30325,33244,291.0,201.53,872.0,241.94,112.91,0.1911,0.3654,UA,F9,201.53,"Denver, CO",39.7392358,-104.990251,"Memphis, TN",35.1485812,-90.0518955
2022,1,30325,33316,420.0,150.27,472.0,138.93,138.93,0.4896,0.4896,WN,WN,150.27,"Denver, CO",39.7392358,-104.990251,"Omaha, NE",41.2565369,-95.9345034
2022,1,30325,33342,471.0,178.02,896.0,170.75,102.8,0.1215,0.5926,WN,F9,178.02,"Denver, CO",39.7392358,-104.990251,"Milwaukee, WI",43.0410344,-87.9096783
2022,1,30325,33485,229.0,189.58,826.0,211.82,109.97,0.2339,0.7123,UA,F9,189.58,"Denver, CO",39.7392358,-104.990251,"Madison, WI",43.0721661,-89.4007501
2022,1,30325,33495,922.0,192.59,1062.0,187.28,110.37,0.1344,0.4342,WN,F9,192.59,"Denver, CO",39.7392358,-104.990251,"New Orleans, LA",29.9508941,-90.0758356
2022,1,30325,33570,1581.0,173.86,853.0,194.89,119.22,0.1813,0.4027,UA,F9,173.86,"Denver, CO",39.7392358,-104.990251,"San Diego, CA",32.715738,-117.1610838
2022,1,30325,33667,188.0,240.42,1553.0,251.04,196.04,0.294,0.4882,UA,WN,240.42,"Denver, CO",39.7392358,-104.990251,"Norfolk, VA",36.8507689,-76.28587259999999
2022,1,30325,33728,248.0,218.03,1179.0,134.17,134.17,0.4381,0.4381,F9,F9,218.03,"Denver, CO",39.7392358,-104.990251,"Pensacola, FL",30.4076647,-87.2189746
2022,1,30325,33851,400.0,156.67,495.0,142.03,142.03,0.5372,0.5372,WN,WN,156.67,"Denver, CO",39.7392358,-104.990251,"Oklahoma City, OK",35.4688692,-97.519539
